word	adj.all	adj.pert	adv.all	noun.Tops	noun.act	noun.animal	noun.artifact	noun.attribute	noun.body	noun.cognition	noun.communication	noun.event	noun.feeling	noun.food	noun.group	noun.location	noun.motive	noun.object	noun.person	noun.phenomenon	noun.plant	noun.possession	noun.process	noun.quantity	noun.relation	noun.shape	noun.state	noun.substance	noun.time	verb.body	verb.change	verb.cognition	verb.communication	verb.competition	verb.consumption	verb.contact	verb.creation	verb.emotion	verb.motion	verb.perception	verb.possession	verb.social	verb.stative	verb.weather
attractive	1																																											
cognitive		1																																										
package							1								1																													
renew																																												
touchdown					1																																							
fictional		1																																										
primitive	1										1								1																									
revolutionary	1	1																																										
Singer																																												
topic										1																																		
antenna						1	1	1																																				
contrary	1																								1																			
myth											1																																	
shore							1											1																									1	
essay					1						1																																	
fantasy										1	1																										1							
gay	1																																											
mainland																		1																										
powder							1																					1		1														
pick					1		1																								1	1				1	1				1			
calculation					1					1																																		
comparable	1																																											
portrayal					1						1																																	
steady	1																														1													
tunnel							1																													1								
captain																			1																							1		
descent					1							1						1							1																			
flood					1		1													1				1							1										1			
mineral	1	1																										1																
scatter					1			1																												1								
absorption																							1																					
algebra										1																																		
birthday																													1															
default					1																	1																			1			
mere	1																	1																										
rough	1															1																												
silent	1																																											
grid							1			1																																		
desert																1																							1					
legitimate	1																														1		1											
stack															1																					1								
flexible	1																																											
insert							1				1																				1					1								
statue							1																																					
circulation					1						1	1								1				1																				
facilitate																															1						1							
genus										1					1																													
compensation																						1	1																					
politically			1																																									
siege					1																																							
commentary																																												
consensus																											1																	
doctor					1														1											1														
hostile	1														1																													
monitor						1	1																																	1				
parliamentary	1	1																																										
sustain																																	1		1									
aggressive	1																																											
guidance					1						1																																	
licensed																																												
promotion					1						1																																	
rebellion					1																																							
whilst																																												
awareness										1																																		
citizenship								1																			1																	
condemn																																	1							1	1	1		
encryption																																												
palace							1								1																													
professor																			1																									
seventh	1										1														1																			
submarine	1						1																											1		1			1					
ease								1																			1												1					
faculty										1																																		
precede																																	1						1			1	1	
accommodate																															1				1								1	
comment											1																						1											
tea														1	1						1																							
width								1																																				
absent	1																														1													
accordance					1																																							
civilization															1								1																					
emission					1							1											1																					
golden	1																																											
restoration					1		1																						1															
wholly			1																																									
abuse											1																				1		1											
arithmetic										1																																		
bandwidth																								1																				
eleven	1																							1																				
pleasure					1					1			1																															
prototype										1																																		
sheet							1				1							1																		1								1
skilled	1																																											
collaboration					1																																							
continent	1															1		1																										
imprison																																										1		
inch																								1																				
permanently			1																																									
serial	1	1									1																																	
static	1										1	1																																
enhance																															1													
equality								1																			1																	
habitat																1																												
Y																																												
championship												1															1																	
lunar		1																																										
merchant																			1																									
nose							1		1	1	1													1										1					1					
symbolic		1																																										
virus						1					1																1																	
neighbour																																												
secular	1	1																																										
aluminum																												1																
exploration					1					1																																		
hull							1									1			1		1										1													
indirect	1																																											
nervous	1	1																																										
ruler																			1																									
privately			1																																									
sweet	1									1				1					1																									
technological	1																																											
blow					1							1																		1	1		1			1			1	1	1			1
cancel																																	1									1	1	
cuisine														1																														
loyal	1																																											
photograph							1																										1										1	
suspect																			1														1											
accurately			1																																									
dissolve											1																				1							1						
rhythm								1			1																																	
trait								1																																				
hierarchy															1																													
sacrifice					1							1										1														1					1			
stadium							1																																					
orchestra							1								1																													
elevation							1	1				1													1																			
healthy	1																																											
thought										1																																		
advise																																	1											
cinema							1																																					
cylinder							1																			1																		
derivative	1										1																	1																
effectiveness								1																																				
radioactive	1																																											
withdrawal					1						1		1																															
cluster																																							1					
posterity															1																													
isotope																												1																
rotate																															1			1					1			1		
dub										1																							1											
essence																												1																
impress					1																										1	1				1		1						
pole							1			1						1			1												1					1								
queen						1	1												1																				1			1		
wasn't																																												
bronze	1						1																					1			1													
expel																																										1		
informal	1																																											
legislative		1																																										
loyalty								1					1																															
remarkable	1																																											
continental	1	1																																										
memorial							1				1																																	
ride							1																													1			1				1	
systematic	1																																											
uncommon	1																																											
observer																			1																									
render																												1			1		1			1	1				1			
can't																																												
conversation											1																																	
founder																			1																				1					
immigration					1										1																													
merge																																												
baby					1	1													1																									
rating																											1																	
adequate	1																																											
reflection							1	1												1					1																			
slight																																1												
syndrome										1																	1																	
talent																			1																									
beneath																																												
monthly	1		1								1																																	
reconstruction					1					1	1																		1															
thirty	1																							1																				
conjunction											1	1													1																			
passive	1																																											
seal						1	1				1																	1				1		1		1								
virtue								1																																				
blind	1						1								1																1									1				
immune	1	1																	1																									
impression					1		1	1		1	1																																	
leather																												1								1								
linguistic		1																																										
mammalian		1																																										
prompt	1										1																						1											
tobacco							1														1																							
witness											1								1																					1				
celebration					1							1																																
polar	1	1																																										
realm																																												
evident																																												
gauge							1	1																	1						1		1			1								
intelligent	1																																											
nerve									1																																			
philosopher																			1																									
progressive	1																								1																			
assassination					1																																							
excessive	1																																											
ingredient							1							1																														
monk																			1																									
nobleman																																												
sculpture					1		1																																					
spite																																												
coordinate	1									1																																1		
favourite																																												
tale																																												
amino		1																										1																
assemble																																					1					1		
battery					1		1								1																													
explicit	1																																											
gravitative																																												
odd	1																																											
reactor							1																																					
nut							1												1		1															1								
intent											1																																	
alphabet											1																																	
delegate																			1																							1		
judgment					1			1		1																																		
shoulder							1		1					1																						1								
sin					1			1			1								1																							1		
successive																																												
gate							1															1									1					1					1			
harsh	1																																											
investor																			1																									
peaceful	1																																											
acoustic		1					1																																					
hill																		1	1																		1							
assessment								1														1																						
drag					1		1	1		1										1											1		1			1			1					
revive																															1													
self		1								1									1																									
sudden	1																																											
trace							1				1													1								1				1	1		1	1				
arc																										1																		
coat						1	1																							1						1								
deliberately																																												
discrimination					1					1																																		
reasonable	1																																											
unstable	1																																											
administer																														1											1	1		
digit									1															1																				
pregnancy																											1																	
qualify																															1		1										1	
retail			1		1																																				1		1	
theatrical	1	1																																										
meal														1															1															
vegetation					1				1						1								1																					
engagement					1							1																																
loaded	1																																											
martial	1																		1																									
regulate																															1											1		
stroke					1						1	1							1					1			1						1	1		1								
noble	1																																											
propaganda											1																																	
raid					1																															1					1	1		
resume																															1											1		
uranium																												1																
demonstration					1						1																																	
fifty	1																							1																				
hero										1									1																									
remember																																1	1								1			
transit																																							1					
unify																															1													
insufficient	1																																											
isolation					1								1										1				1																	
municipal	1	1																																										
refugee																			1																									
welfare																																												
autonomy																											1																	
boom							1					1															1				1									1				
decorate																																					1					1		
del																																												
fame																											1																	
routine					1						1																																	
synthetic	1																											1																
topology										1																																		
accounting										1	1											1																						
tongue							1		1		1			1												1										1	1							
toxic	1																																											
unite																															1											1	1	
combustion																							1				1																	
deposit					1						1									1		1																			1			
electronics										1																																		
exceed																																											1	
explosive	1						1																																					
illustrate																																					1							
notice										1	1																						1							1				
slot							1				1							1									1					1												
tiny																																												
biology										1										1																								
conceive																														1														
neutron																		1																										
perfectly			1																																									
valve						1	1		1																																			
designer																			1																									
full-time	1		1																																									
mortality								1																																				
odds								1																	1																			
harmonic	1	1						1		1																																		
constitute																																											1	
loan																						1																						
territorial	1	1													1				1																									
artifact				1																																								
barrier							1			1								1																										
deficit								1														1		1			1																	
finger							1		1															1									1			1								
bias	1									1																						1		1										
emphasize																																												
fifteen	1																							1																				
symmetry								1																		1																		
colleague																			1																									
forbid																																	1											
pecuniary																																												
corporation															1																													
gross	1																					1		1																	1			
mayor																			1																									
volunteer																			1														1									1		
aboard			1																																									
friction					1															1																								
interact																																										1		
lifestyle																																												
resist																																		1								1	1	
servant																			1																									
shallow	1																														1													
byte																								1																				
loose	1		1																																									
populate																															1												1	
consonant	1										1																																	
container							1																																					
march					1										1														1										1					
pregnant	1																																											
provincial	1	1																	1																									
di																																												
openly			1																																									
ethical	1	1																																										
fabric							1																																					
steadily			1																																									
extinction					1					1		1											1				1																	
modification							1																		1																			
productive	1																																											
rifle							1																													1								
versus																																												
animation					1			1																			1																	
explore																																1												
melt																															1													
offspring												1							1																									
reproduction					1					1													1																					
rigid	1																																											
confine																																				1						1		
du																																												
genome															1																													
persuade																																	1											
pound							1				1								1					1							1					1								
seasonal	1																																											
sodium																												1																
ticket								1			1																														1	1		
aside			1								1																																	
compile																																					1							
footage							1															1																						
pontifical							1																																					
acceleration					1			1																					1															
chest							1																																					
publisher															1				1																									
borrow																																									1			
breed										1					1															1						1								
careful	1																																											
plague										1		1															1																	
preference								1		1			1																															
revival					1										1																													
wound	1				1							1	1														1																	
animate	1																													1														
creature																			1																									
flavour																																												
innovation																																												
investigate																																	1											
vegetable														1							1																							
attendance					1										1														1															
elevated	1																																											
enzyme																												1																
insulin									1																																			
peasant																			1																									
angular	1	1																																										
jock																																												
convict																			1														1											
eligible	1																																											
monopoly					1																						1																	
wireless	1										1																																	
amendment					1						1																																	
constraint					1																						1																	
rat						1	1																													1						1		
secretary							1												1																									
cap							1														1										1												1	
exit					1		1																											1					1					
harmony								1			1																1																	
inherent																																												
present-day																																												
technically			1																																									
elementary	1	1																																										
pulse												1		1															1								1		1					
shoe							1																							1														
optimum	1							1																																				
seize																																1				1								
terminology											1																																	
geometrical																																												
justify																															1		1											
afternoon																													1															
cellular	1	1																																										
ear									1	1											1																							
examine																																	1							1				
wanting																																												
voyage					1																																		1					
whenever																																												
desirable	1																																											
differential		1						1																																				
printer							1												1																									
resignation											1		1																															
revision					1						1																																	
controller																																												
exclude																																1										1	1	
initiative																																												
slide					1		1					1																											1					
turbine							1																																					
uncertainty								1																																				
autobiography											1																																	
inheritance					1			1														1																						
pace					1			1																					1		1	1							1					
presidency					1																								1															
sovereignty								1																			1																	
empirical	1																																											
timber							1																																					
armour																																												
functionality								1																																				
guarantee											1											1											1											
oxidization																																												
oxide																												1																
performer																			1																									
similarity								1		1																																		
transactions																																												
wheat														1							1																							
archeological																																												
emit																														1														1
erosion																							1				1																	
holy	1																																											
proceed																															1								1					
span								1																1					1															
triangle							1																			1																		
vapour																																												
emotion													1																															
favorable	1																																											
hip									1												1					1																		
offset											1																										1				1		1	
periodic	1																																											
plural	1										1																																	
advocate																			1																									
genuine	1																																											
hybrid	1					1				1																																		
limiting	1																																											
outbreak												1																																
protective	1																																											
spatial		1																																										
fossil		1																1																										
singular	1										1																																	
undergraduate																			1																									
consequently			1																																									
heir																			1																									
optional	1																																											
punk																												1																
reliableness																																												
Advent																																												
textile		1																																										
gear							1																								1													
lesson					1																																							
margin								1			1											1				1																		
module							1																																					
stick					1		1							1							1												1			1	1						1	
boil																											1				1													
cheap	1																																											
compiler											1								1																									
convenient	1																																											
copyright											1																														1			
faction															1																													
modest	1																																											
necessity																		1									1																	
ray						1															1					1																		1
assert																																	1									1		
flexibility								1																																				
furniture							1																																					
highway							1																																					
installation					1																																							
nickname											1																																	
reinforced	1																																											
allied	1	1																																										
basketball					1		1																																					
dose							1																	1							1													
horror							1						1																															
liver									1					1					1																									
skull									1																																			
anxiety													1														1																	
monarch						1																																						
physician																																												
calcium																												1																
continuity								1			1																1																	
enterprise					1			1							1																													
onwards																																												
outstanding	1																																											
simplify																															1													
summit															1																								1					
syntax										1					1																													
implication											1														1																			
lecture					1						1																						1											
mid	1																																											
mood																									1																			
pipe							1																			1											1		1					
pride					1			1					1		1																							1						
rod						1	1		1																																			
terrestrial	1																																											
descend																																							1					
enact																																					1							
insect						1																																						
junior	1																		1																									
propel																																				1								
overhead	1		1		1		1																																					
twentieth	1																								1																			
achievement																																												
DA																																												
patrol					1										1																											1		
scholarship																						1																						
southeast	1		1													1									1																			
survivor						1													1																									
theological		1																																										
abolish																																										1		
determination					1			1		1																																		
discharge					1							1								1			1					1						1		1								
referendum					1																																							
northwest			1													1									1																			
proximity								1		1						1																												
rout												1																						1		1								
cultivation					1																		1																					
exhaust							1																					1		1	1													
ministry					1		1								1																													
multiplication					1																		1																					
standardized	1																																											
strain					1															1							1								1	1								
brass							1																					1																
communist		1																	1																									
geographical																																												
oath											1																																	
satisfy																																						1					1	
chair							1																																			1		
emergence					1							1																																
float							1															1							1		1	1				1			1			1		
viewer							1																																					
bell							1					1							1							1			1							1								
chess					1																1																							
countryside																1																												
declaration											1																																	
fatal	1																																											
grass																			1		1													1	1	1								
machinery							1								1																													
outdoor	1	1																																										
predator						1																																						
trap							1		1	1																										1						1		
vocabulary										1	1																																	
barrel							1																	1		1										1								
conquest					1																																							
sake								1		1				1																														
southwest	1		1													1									1																			
trigger					1		1																											1										
undertake																																	1				1					1		
altogether			1																																									
lineage															1																													
conception					1																																							
generic	1	1					1							1																														
myself																																												
omit																																												
syllable											1																																	
acquisition					1																	1																						
costly	1																																											
decimal	1																							1																				
dominance																				1							1																	
donate																																									1			
tactical		1																																										
amplitude								1				1																																
boost					1																										1					1								
enabling	1																																											
fever													1														1																	
flesh									1																																1			
graphic	1	1					1																																					
infant																																												
intact	1																																											
integrity								1																			1																	
nationwide																																												
photography					1																		1																					
seemingly																																												
suggestion										1	1																																	
tomb																																												
two-thirds																								1																				
vitamin																												1																
bitter	1									1				1																										1				
innovative	1																																											
prefix											1																									1								
privilege								1																																		1		
sailing					1																																							
tonne																																												
chronic	1																																											
definite	1																																											
horn						1	1				1																	1								1								
recreational		1																																										
shield							1																											1										
carve																																				1								
undergo																																								1				
gray								1											1					1																				
infrared	1							1												1																								
literacy										1																																		
realistic	1	1																																										
safely			1																																									
thanks					1						1																																	
wisdom								1		1																																		
afford																																			1						1		1	
inferior	1																		1																									
pen						1	1																																					
strange	1																																											
uncle																			1																									
paradise										1																																		
horizon								1								1																												
polarization																				1							1																	
practitioner																			1																									
tight	1																																											
axiom											1																																	
burial												1																																
men's																																												
specimen									1	1																																		
steal					1																													1					1		1			
tune					1			1			1																				1													
inhabit																																											1	
inverse	1																								1																			
profound	1																																											
projection							1			1	1									1			1			1																		
urge													1				1																1											
allegedly			1																																									
badly			1																																									
conquer																																		1										
cream							1							1	1																1					1								
half-life																																												
polynomial		1								1																																		
profession					1						1				1																													
pursuit					1					1																																		
trick					1																								1															
brick							1												1																									
extraordinary	1																																											
lawyer																			1																									
militia															1																													
rife																																												
provider																			1																									
quiet	1																																											
subtle	1																																											
testimony											1																																	
trail							1											1																		1			1					
approximation					1			1			1																																	
conductor							1												1									1																
extract																																1				1					1			
flash							1	1		1		1																			1		1			1				1				
infect																														1		1										1		
mistake					1					1																						1												
purple	1							1																			1				1													
stamp							1				1				1																1					1	1			1				
supposedly																																												
unconscious	1																																											
adventure					1																																							
astronomical																																												
cat						1													1																	1								
flux					1							1															1	1	1															
intake							1																																					
invade																																		1		1							1	
minimize																															1		1											
numerical	1																																											
orient																																	1							1			1	
tenure																						1							1													1		
venue																1																												
ballot											1																															1		
champion	1																		1															1										
compressed	1																																											
cultivate																																					1							
forty	1																							1																				
incorrect	1																																											
leaf							1				1										1									1									1					
offense					1										1																													
toll																						1																		1	1			
acute	1																																											
attraction								1		1	1									1																								
diamond							1															1						1																
whirlybird																																												
monarchy															1																													
nominal	1	1																																										
reluctant	1																																											
silicon																												1																
bay	1					1	1					1						1															1											
charity					1			1							1																													
induce																																1	1				1							
privateness																																												
stance								1																																				
tolerance					1			1		1																																		
venture					1																																					1		
adjust																															1	1												
decisive	1																																											
expectation										1			1																															
harmful	1																																											
lateral	1																																											
mystery										1	1																																	
rivalry																																												
sunshine																																												
abundant	1																																											
freight					1																	1														1			1					
inclusion					1																				1		1																	
owe																																									1		1	
preponderantly																																												
premiere											1																																	
swing					1		1				1																1				1			1		1	1		1			1	1	
texture								1		1																																		
analogous	1																																											
barely			1																																									
collision											1	1																																
conscious	1																																											
entropy																																												
eventual	1																																											
fission																							1																					
imprisonment					1																																							
prince																			1																									
sensor																																												
tribal		1																																										
whereby																																												
White																																												
counterpart							1			1																																		
departed																																												
dinner														1	1																													
revenge																																		1										
sick	1														1																													
that's																																												
wive																																									1	1		
closure					1					1	1																				1													
illustration							1				1																																	
playoff												1																																
suburbia															1																													
torture					1																						1			1														
viable	1																																											
commerce					1						1																																	
freeze					1															1			1							1	1								1					1
guideline											1																																	
irregular	1						1																																					
metropolitan		1																	1																									
upgrade					1		1	1		1	1																				1	1												
utilize																															1													
coil							1																			1										1								
corps															1																													
inland	1		1																																									
morality								1																																				
preservation					1																		1				1																	
prone	1																																											
pronunciation											1																																	
thesis											1																																	
truck							1																																1					
faithful	1														1																													
kinetic	1	1																																										
resemble																																											1	
algebraical																																												
bomber							1							1					1																									
burden										1																										1								
companion																			1																									
elderly																																												
flour														1																	1					1								
incomplete	1																																											
presumptively																																												
refine																															1													
reward					1						1											1																			1			
sensitivity								1		1			1														1																	
threshold										1																			1															
weakened	1																																											
cannon						1	1																											1										
nutrient				1																																								
publicity								1																																				
surplus																																												
torpedo							1																											1										
transparent	1																																											
albeit																																												
apportion																																												
ethics										1																																		
fun					1						1																																	
kick					1					1																								1	1	1			1					
lock					1		1		1																						1					1	1	1	1					
paradox											1																																	
portable	1						1																																					
reply											1																																	
telecommunication										1	1																																	
cement																												1								1								
syllabus																																												
grammatical	1	1																																										
viz.																																												
regulatory																																												
shadow								1					1						1								1												1				1	1
socialist																			1																									
structured	1																																											
devise																						1																			1			
fault					1			1				1						1																										
grandpa																																												
imaging					1																																							
modulation					1						1																																	
mythology										1					1																													
scholarly	1																																											
transaction					1																																							
voluntary	1										1																																	
warn																																	1											
aerial	1																																											
expeditiously																																												
fortune																						1					1																	
speculation										1												1																						
tile							1																					1								1								
tone								1		1	1																			1	1		1											
abundance								1																	1																			
